Name,Measurement Reference,x,y,z,,,
28.04.3-4,2InB-2,-7.26,-14.64,-7.498,,,
02.05.1-2,2ImT-15,-1.7716,-20.11,-3.499,,,
02.05.1-3,2ImT-1-1,-1.52,-18.125,-3.499,,,
02.05.1-4,2WhB-11,-10.03,7.56527,-7.498,,,
02.05.2-2,2SdT-4,8.1994,13.6383,-3.499,,,
02.05.2-3,2SdT-5,5.52736,12.06,-3.499,,,
02.05.2-4,2SdT-6,13.9923,21.6,-2.499,,,
02.05.3-2,2PoT-1,3.733,10.218,-3.499,,,
02.05.3-3,2PoT-2,4.82157,13.016,-3.499,,,
02.05.3-4,2PoT-3,6.148,16.4249,-2.499,,,
09.05.1-2,2WhB-12,-10.111979,7.535,-7.498,,,
09.05.1-3,2WhB-13,-7.004152,5.018,-7.498,,,
09.05.1-4,2WhB-14,-8.606,6.223,-7.49,,,
09.05.2-2,2WhB-15,-11.373,8.67,-7.498,,,
09.05.2-3,2WhB-16,-12.831,10.0329,-7.498,,,
09.05.2-4,2WhB-17,-15.361,12.274,-7.498,,,
10.05.1-2,2ImT-15-1,-1.7716,-20.11,-3.499,,,
10.05.1-3,2ImT-1-2,-1.52,-18.125,-3.499,,,
10.05.1-4,2ImT-16,0.111,-18.35,-3.499,,,
10.05.2-2,2ImT-17,-0.033,-19.742,-3.499,,,
10.05.2-3,2ImT-18,0.21,-13.9,-3.499,,,
10.05.2-4,2ImT-19,-0.15,-21.103,-3.499,,,
28.04.2-2,2LeT-15,-5.4736,-15.861395,-3.499,,,
16.11.1-2,2LeT-1,-6.33973,-20.0999,-3.499,,,
10.05.3-2,2LeT-16,-6.929,-22.5,-3.499,,,
10.05.4-2,2ImB-7,0,-27.7,-7.498,,,
10.05.4-3,2ImT-20,-0.389,-8.325,-3.499,,,
10.05.4-4,2ImT-4-1,-0.20529,-7.317,-3.4998,,,
10.05.5-4,2ImT-20-1,-0.389,-8.325,-3.499,,,
11.05.1-2,2LaT-8,-2.03649,5.835,-3.499,,,
11.05.1-3,2OfT-4,-1.1485,6.072,-3.499,,,
11.05.1-4,2LaT-9,-3.082,5.262,-3.499,,,
11.05.2-2,2OfT-5,-1.371,8.082,-2.7,,,
11.05.2-3,2LaT-10,-3.5234,6.084,-3.49,,,
11.05.2-4,2OfT-6,-1.197,7.095,-3.49,,,
11.05.3-2,2LaT-11,-3.404,10.78,-3.499,,,
11.05.3-3,2LaT-9-1,-3.082,5.262,-3.499,,,
11.05.3-4,2LaT-12,-4.165,13.36,-3.499,,,
12.05.1-2,2LaT-13,-2.821,5.413,-3.499,,,
12.05.1-3,2WhT-8,-3.521,5.206,-3.499,,,
