[#]	rt(s)	Dt(s)	Det1	Det2	Det3	Det4	Det5	Det6	REAR	RearL	FrontL	FRONT	FrontR	RearR	Det1_cps	Det2_cps	Det3_cps	Det4_cps	Det5_cps	Det6_cps	REAR_cps	RearL_cps	FrontL_cps	FRONT_cps	FrontR_cps	RearR_cps
69	292424.93	4178.00	0000000002	0000000003	0000000005	0000000011	0000000006	0000000004	0000000003	0000000004	0000000007	0000000004	0000000005	0000000005	4.7870E-04	7.1805E-04	1.1967E-03	2.6328E-03	1.4361E-03	9.5740E-04	7.1805E-04	9.5740E-04	1.6754E-03	9.5740E-04	1.1967E-03	1.1967E-03	
70	296602.88	4177.95	0000000007	0000000005	0000000008	0000000002	0000000007	0000000005	0000000007	0000000010	0000000002	0000000005	0000000005	0000000005	1.6755E-03	1.1968E-03	1.9148E-03	4.7870E-04	1.6755E-03	1.1968E-03	1.6755E-03	2.3935E-03	4.7870E-04	1.1968E-03	1.1968E-03	1.1968E-03	
71	300780.74	4177.87	0000000003	0000000008	0000000004	0000000006	0000000003	0000000004	0000000004	0000000003	0000000007	0000000006	0000000004	0000000003	7.1807E-04	1.9149E-03	9.5743E-04	1.4361E-03	7.1807E-04	9.5743E-04	9.5743E-04	7.1807E-04	1.6755E-03	1.4361E-03	9.5743E-04	7.1807E-04	
72	304958.62	4177.88	0000000004	0000000007	0000000008	0000000010	0000000006	0000000010	0000000009	0000000004	0000000010	0000000011	0000000007	0000000002	9.5742E-04	1.6755E-03	1.9148E-03	2.3936E-03	1.4361E-03	2.3936E-03	2.1542E-03	9.5742E-04	2.3936E-03	2.6329E-03	1.6755E-03	4.7871E-04	
73	309136.45	4177.83	0000000003	0000000004	0000000003	0000000004	0000000011	0000000004	0000000004	0000000003	0000000004	0000000006	0000000005	0000000007	7.1808E-04	9.5744E-04	7.1808E-04	9.5744E-04	2.6329E-03	9.5744E-04	9.5744E-04	7.1808E-04	9.5744E-04	1.4362E-03	1.1968E-03	1.6755E-03	
74	313314.36	4177.91	0000000003	0000000005	0000000004	0000000014	0000000002	0000000007	0000000006	0000000005	0000000005	0000000003	0000000006	0000000008	7.1806E-04	1.1968E-03	9.5742E-04	3.3510E-03	4.7871E-04	1.6755E-03	1.4361E-03	1.1968E-03	1.1968E-03	7.1806E-04	1.4361E-03	1.9148E-03	
75	317492.32	4177.96	0000000009	0000000002	0000000003	0000000005	0000000010	0000000005	0000000004	0000000005	0000000005	0000000011	0000000003	0000000003	2.1542E-03	4.7870E-04	7.1805E-04	1.1968E-03	2.3935E-03	1.1968E-03	9.5740E-04	1.1968E-03	1.1968E-03	2.6329E-03	7.1805E-04	7.1805E-04	
76	321670.15	4177.83	0000000001	0000000010	0000000004	0000000004	0000000005	0000000002	0000000004	0000000005	0000000002	0000000003	0000000005	0000000005	2.3936E-04	2.3936E-03	9.5744E-04	9.5744E-04	1.1968E-03	4.7872E-04	9.5744E-04	1.1968E-03	4.7872E-04	7.1808E-04	1.1968E-03	1.1968E-03	
77	325847.88	4177.73	0000000002	0000000007	0000000007	0000000006	0000000006	0000000011	0000000006	0000000007	0000000003	0000000007	0000000007	0000000005	4.7873E-04	1.6756E-03	1.6756E-03	1.4362E-03	1.4362E-03	2.6330E-03	1.4362E-03	1.6756E-03	7.1809E-04	1.6756E-03	1.6756E-03	1.1968E-03	
78	330025.46	4177.58	0000000000	0000000007	0000000004	0000000006	0000000002	0000000007	0000000001	0000000005	0000000004	0000000005	0000000004	0000000004	0.0000E+00	1.6756E-03	9.5749E-04	1.4362E-03	4.7875E-04	1.6756E-03	2.3937E-04	1.1969E-03	9.5749E-04	1.1969E-03	9.5749E-04	9.5749E-04	
79	334203.12	4177.66	0000000005	0000000007	0000000005	0000000009	0000000003	0000000004	0000000006	0000000008	0000000004	0000000005	0000000005	0000000003	1.1968E-03	1.6756E-03	1.1968E-03	2.1543E-03	7.1811E-04	9.5747E-04	1.4362E-03	1.9149E-03	9.5747E-04	1.1968E-03	1.1968E-03	7.1811E-04	
80	338380.93	4177.82	0000000005	0000000001	0000000001	0000000011	0000000004	0000000009	0000000005	0000000007	0000000008	0000000004	0000000003	0000000004	1.1968E-03	2.3936E-04	2.3936E-04	2.6330E-03	9.5744E-04	2.1542E-03	1.1968E-03	1.6755E-03	1.9149E-03	9.5744E-04	7.1808E-04	9.5744E-04	
81	342241.76	3860.82	0000000006	0000000001	0000000010	0000000006	0000000009	0000000002	0000000006	0000000004	0000000005	0000000010	0000000004	0000000005	1.5541E-03	2.5901E-04	2.5901E-03	1.5541E-03	2.3311E-03	5.1802E-04	1.5541E-03	1.0360E-03	1.2951E-03	2.5901E-03	1.0360E-03	1.2951E-03	
