"Time","t2shut::sans2d:status"
"11/26/2022, 02:02:58 PM",3
"11/26/2022, 02:03:32 PM",1
"11/26/2022, 02:31:17 PM",3
"11/26/2022, 02:31:55 PM",2
"11/26/2022, 02:47:45 PM",3
"11/26/2022, 02:48:16 PM",1
"11/26/2022, 03:19:33 PM",3
"11/26/2022, 03:20:14 PM",2
"11/26/2022, 03:34:20 PM",3
"11/26/2022, 03:34:56 PM",1
"11/26/2022, 04:55:42 PM",3
"11/26/2022, 04:56:25 PM",2
"11/27/2022, 10:04:28 AM",3
"11/27/2022, 10:05:04 AM",1
"11/28/2022, 09:27:11 AM",3
"11/28/2022, 09:27:54 AM",2
"11/28/2022, 09:36:58 AM",3
"11/28/2022, 09:37:32 AM",1
"11/28/2022, 02:09:04 PM",3
"11/28/2022, 02:09:38 PM",2
"11/28/2022, 02:11:26 PM",3
"11/28/2022, 02:12:03 PM",1
"11/28/2022, 05:28:11 PM",3
"11/28/2022, 05:28:52 PM",2
"11/28/2022, 05:31:01 PM",3
"11/28/2022, 05:31:35 PM",1
"11/28/2022, 10:06:52 PM",3
"11/28/2022, 10:07:33 PM",2
"11/28/2022, 10:21:07 PM",3
"11/28/2022, 10:21:42 PM",1
"11/29/2022, 08:24:13 AM",3
"11/29/2022, 08:24:55 AM",2
"11/29/2022, 08:40:05 AM",3
"11/29/2022, 08:40:40 AM",1
"11/29/2022, 09:29:38 AM",3
"11/29/2022, 09:30:19 AM",2
"11/29/2022, 09:37:53 AM",3
"11/29/2022, 09:38:26 AM",1
"11/29/2022, 10:28:47 AM",3
"11/29/2022, 10:29:29 AM",2
"11/29/2022, 10:35:49 AM",3
"11/29/2022, 10:36:21 AM",1
"11/29/2022, 11:05:17 AM",3
"11/29/2022, 11:05:58 AM",2
"11/29/2022, 11:07:45 AM",3
"11/29/2022, 11:08:23 AM",1
"11/29/2022, 01:36:33 PM",3
"11/29/2022, 01:37:15 PM",2
"11/29/2022, 01:42:36 PM",3
"11/29/2022, 01:43:12 PM",1
"11/29/2022, 04:01:26 PM",3
"11/29/2022, 04:02:10 PM",2
"11/29/2022, 04:05:54 PM",3
"11/29/2022, 04:06:28 PM",1
"11/29/2022, 06:55:21 PM",3
"11/29/2022, 06:56:03 PM",2
"11/29/2022, 06:59:03 PM",3
"11/29/2022, 06:59:36 PM",1
"11/29/2022, 10:23:54 PM",3
"11/29/2022, 10:24:36 PM",2
"11/29/2022, 11:02:50 PM",3
"11/29/2022, 11:03:26 PM",1
"11/30/2022, 09:34:18 AM",3
"11/30/2022, 09:35:01 AM",2
"11/30/2022, 10:32:35 AM",3
"11/30/2022, 10:33:12 AM",1
"11/30/2022, 10:56:21 AM",3
"11/30/2022, 10:57:03 AM",2
"11/30/2022, 11:00:13 AM",3
"11/30/2022, 11:00:49 AM",1
"11/30/2022, 02:47:35 PM",3
"11/30/2022, 02:48:10 PM",2
"11/30/2022, 05:47:43 PM",3
"11/30/2022, 05:48:20 PM",1
"11/30/2022, 06:17:48 PM",3
"11/30/2022, 06:18:30 PM",2
"11/30/2022, 06:19:50 PM",3
"11/30/2022, 06:20:27 PM",1
"11/30/2022, 07:27:11 PM",3
"11/30/2022, 07:27:55 PM",2
"11/30/2022, 07:30:03 PM",3
"11/30/2022, 07:30:39 PM",1
"12/01/2022, 08:06:13 AM",3
"12/01/2022, 08:06:57 AM",2
"12/01/2022, 08:40:41 AM",3
"12/01/2022, 08:41:16 AM",1
"12/01/2022, 09:39:08 AM",3
"12/01/2022, 09:39:50 AM",2
"12/01/2022, 12:12:53 PM",3
"12/01/2022, 12:13:30 PM",1
"12/01/2022, 03:58:29 PM",3
"12/01/2022, 03:59:07 PM",2
"12/01/2022, 04:38:08 PM",3
"12/01/2022, 04:38:43 PM",1
