"Time","t2shut::e6:status"
"11/20/2022, 10:29:41 AM",1
"11/20/2022, 02:27:40 PM",3
"11/20/2022, 02:28:22 PM",2
"11/20/2022, 02:34:02 PM",3
"11/20/2022, 02:34:32 PM",1
"11/20/2022, 03:19:07 PM",3
"11/20/2022, 03:19:46 PM",2
"11/20/2022, 03:27:20 PM",3
"11/20/2022, 03:27:48 PM",1
"11/21/2022, 09:24:26 AM",3
"11/21/2022, 09:25:04 AM",2
"11/21/2022, 09:39:39 AM",3
"11/21/2022, 09:40:09 AM",1
"11/21/2022, 10:51:16 AM",3
"11/21/2022, 10:51:53 AM",2
"11/21/2022, 11:06:38 AM",3
"11/21/2022, 11:07:09 AM",1
"11/21/2022, 01:25:08 PM",3
"11/21/2022, 01:25:44 PM",2
"11/21/2022, 01:27:21 PM",3
"11/21/2022, 01:27:51 PM",1
"11/21/2022, 01:37:53 PM",3
"11/21/2022, 01:38:28 PM",2
"11/21/2022, 04:25:24 PM",3
"11/21/2022, 04:25:55 PM",1
"11/22/2022, 10:47:52 AM",4
"11/22/2022, 10:47:54 AM",3
"11/22/2022, 10:48:26 AM",2
"11/22/2022, 10:55:08 AM",3
"11/22/2022, 10:55:38 AM",1
"11/22/2022, 03:55:38 PM",3
"11/22/2022, 03:56:15 PM",2
"11/22/2022, 04:28:36 PM",3
"11/22/2022, 04:29:06 PM",1
"11/22/2022, 05:15:28 PM",3
"11/22/2022, 05:16:05 PM",2
"11/22/2022, 05:21:45 PM",3
"11/22/2022, 05:22:14 PM",1
"11/23/2022, 08:03:25 AM",3
"11/23/2022, 08:04:03 AM",2
"11/24/2022, 05:46:27 PM",3
"11/24/2022, 05:46:57 PM",1
"11/24/2022, 05:50:00 PM",4
"11/24/2022, 05:50:02 PM",3
"11/24/2022, 05:50:38 PM",2
"11/24/2022, 06:06:41 PM",3
"11/24/2022, 06:07:12 PM",1
"11/24/2022, 06:18:54 PM",3
"11/24/2022, 06:19:29 PM",2
"11/24/2022, 06:44:22 PM",3
"11/24/2022, 06:44:52 PM",1
"11/24/2022, 07:13:27 PM",3
"11/24/2022, 07:14:05 PM",2
"11/24/2022, 07:44:41 PM",3
"11/24/2022, 07:45:11 PM",1
"11/24/2022, 08:31:34 PM",3
"11/24/2022, 08:32:11 PM",2
"11/24/2022, 08:40:58 PM",3
"11/24/2022, 08:41:27 PM",1
"11/24/2022, 10:10:11 PM",3
"11/24/2022, 10:10:49 PM",2
"11/24/2022, 10:47:54 PM",3
"11/24/2022, 10:48:27 PM",1
"11/25/2022, 09:59:22 AM",3
"11/25/2022, 09:59:53 AM",2
"11/25/2022, 10:07:01 AM",3
"11/25/2022, 10:07:32 AM",1
