"Time","t2shut::e1:status"
"11/22/2022, 11:40:10 AM",1
"11/22/2022, 01:01:52 PM",3
"11/22/2022, 01:02:06 PM",2
"11/22/2022, 01:04:54 PM",3
"11/22/2022, 01:05:32 PM",1
"11/22/2022, 01:16:09 PM",3
"11/22/2022, 01:16:24 PM",2
"11/22/2022, 01:38:09 PM",3
"11/22/2022, 01:38:53 PM",1
"11/22/2022, 02:18:54 PM",3
"11/22/2022, 02:19:07 PM",2
"11/22/2022, 02:23:59 PM",4
"11/22/2022, 02:24:38 PM",1
"11/22/2022, 02:28:44 PM",3
"11/22/2022, 02:29:00 PM",2
"11/22/2022, 02:38:55 PM",3
"11/22/2022, 02:39:33 PM",1
"11/22/2022, 03:07:44 PM",3
"11/22/2022, 03:08:00 PM",2
"11/22/2022, 03:15:20 PM",3
"11/22/2022, 03:15:57 PM",1
"11/22/2022, 03:26:43 PM",4
"11/22/2022, 03:26:45 PM",3
"11/22/2022, 03:27:00 PM",2
"11/22/2022, 03:30:23 PM",3
"11/22/2022, 03:31:00 PM",1
"11/22/2022, 03:54:40 PM",3
"11/22/2022, 03:54:53 PM",2
"11/22/2022, 03:56:15 PM",3
"11/22/2022, 03:56:53 PM",1
"11/22/2022, 04:11:19 PM",3
"11/22/2022, 04:11:32 PM",2
"11/22/2022, 04:15:00 PM",3
"11/22/2022, 04:15:37 PM",1
"11/23/2022, 08:38:18 AM",4
"11/23/2022, 08:38:20 AM",3
"11/23/2022, 08:38:33 AM",2
"11/23/2022, 05:00:41 PM",3
"11/23/2022, 05:01:22 PM",1
"11/23/2022, 05:04:24 PM",3
"11/23/2022, 05:04:38 PM",2
"11/23/2022, 05:06:11 PM",3
"11/23/2022, 05:06:51 PM",1
"11/24/2022, 09:37:06 AM",3
"11/24/2022, 09:37:27 AM",2
"11/24/2022, 10:04:04 AM",3
"11/24/2022, 10:04:42 AM",1
"11/24/2022, 10:13:10 AM",3
"11/24/2022, 10:13:26 AM",2
"11/24/2022, 10:15:44 AM",3
"11/24/2022, 10:16:23 AM",1
"11/24/2022, 02:34:35 PM",4
"11/24/2022, 02:34:37 PM",1
"11/24/2022, 03:22:12 PM",3
"11/24/2022, 03:22:27 PM",2
"11/24/2022, 03:24:47 PM",3
"11/24/2022, 03:25:24 PM",1
"11/24/2022, 03:51:11 PM",3
"11/24/2022, 03:51:25 PM",2
"11/24/2022, 04:01:51 PM",3
"11/24/2022, 04:02:28 PM",1
"11/24/2022, 04:28:54 PM",3
"11/24/2022, 04:29:09 PM",2
"11/24/2022, 04:57:32 PM",3
"11/24/2022, 04:58:11 PM",1
"11/24/2022, 06:27:11 PM",4
"11/24/2022, 06:27:13 PM",3
"11/24/2022, 06:27:26 PM",2
"11/24/2022, 06:53:38 PM",3
"11/24/2022, 06:54:17 PM",1
"11/24/2022, 08:20:07 PM",3
"11/24/2022, 08:20:21 PM",2
"11/24/2022, 09:01:38 PM",4
"11/24/2022, 09:02:16 PM",1
"11/24/2022, 10:38:23 PM",3
"11/24/2022, 10:38:38 PM",2
"11/24/2022, 11:02:13 PM",3
"11/24/2022, 11:02:54 PM",1
"11/24/2022, 11:23:40 PM",3
"11/24/2022, 11:23:55 PM",2
"11/24/2022, 11:38:00 PM",3
"11/24/2022, 11:38:40 PM",1
"11/25/2022, 01:13:45 AM",3
"11/25/2022, 01:14:00 AM",2
"11/25/2022, 01:28:16 AM",3
"11/25/2022, 01:28:55 AM",1
"11/25/2022, 02:42:59 AM",3
"11/25/2022, 02:43:14 AM",2
"11/25/2022, 03:05:19 AM",3
"11/25/2022, 03:05:57 AM",1
"11/25/2022, 03:12:05 AM",3
"11/25/2022, 03:12:18 AM",2
"11/25/2022, 03:29:49 AM",3
"11/25/2022, 03:30:27 AM",1
"11/25/2022, 04:39:39 AM",3
"11/25/2022, 04:39:54 AM",2
"11/25/2022, 04:59:45 AM",3
"11/25/2022, 05:00:24 AM",1
"11/25/2022, 11:17:39 AM",3
"11/25/2022, 11:17:54 AM",2
"11/25/2022, 11:53:18 AM",4
"11/25/2022, 11:53:58 AM",1
"11/25/2022, 01:16:53 PM",4
"11/25/2022, 01:16:56 PM",3
"11/25/2022, 01:17:09 PM",2
"11/25/2022, 03:05:13 PM",3
"11/25/2022, 03:05:51 PM",1
"11/25/2022, 04:19:59 PM",3
"11/25/2022, 04:20:14 PM",2
"11/25/2022, 04:42:12 PM",3
"11/25/2022, 04:42:51 PM",1
"11/25/2022, 09:35:31 PM",3
"11/25/2022, 09:35:46 PM",2
"11/25/2022, 10:00:15 PM",3
"11/25/2022, 10:00:55 PM",1
"11/26/2022, 01:18:56 AM",3
"11/26/2022, 01:19:10 AM",2
"11/26/2022, 01:31:03 AM",3
"11/26/2022, 01:31:37 AM",1
"11/26/2022, 02:18:50 AM",3
"11/26/2022, 02:19:05 AM",2
"11/26/2022, 02:55:58 AM",3
"11/26/2022, 02:56:35 AM",1
"11/26/2022, 03:36:59 AM",3
"11/26/2022, 03:37:14 AM",2
"11/26/2022, 04:04:28 AM",3
"11/26/2022, 04:05:05 AM",1
"11/26/2022, 04:05:25 AM",3
"11/26/2022, 04:05:38 AM",2
"11/26/2022, 04:15:15 AM",3
"11/26/2022, 04:15:54 AM",1
"11/26/2022, 10:08:56 AM",3
"11/26/2022, 10:09:12 AM",2
"11/26/2022, 10:52:24 AM",3
"11/26/2022, 10:52:59 AM",1
"11/26/2022, 11:37:27 AM",3
"11/26/2022, 11:37:43 AM",2
"11/26/2022, 12:17:37 PM",3
"11/26/2022, 12:18:11 PM",1
"11/26/2022, 01:25:07 PM",3
"11/26/2022, 01:25:22 PM",2
"11/26/2022, 02:00:41 PM",3
"11/26/2022, 02:01:19 PM",1
"11/26/2022, 02:57:02 PM",3
"11/26/2022, 02:57:15 PM",2
"11/26/2022, 03:32:05 PM",3
"11/26/2022, 03:32:42 PM",1
"11/26/2022, 05:13:41 PM",3
"11/26/2022, 05:13:56 PM",2
"11/26/2022, 05:25:12 PM",3
"11/26/2022, 05:25:49 PM",1
"11/26/2022, 06:27:58 PM",3
"11/26/2022, 06:28:14 PM",2
"11/26/2022, 07:05:00 PM",3
"11/26/2022, 07:05:37 PM",1
"11/26/2022, 07:22:25 PM",4
"11/26/2022, 07:22:27 PM",1
"11/26/2022, 07:56:38 PM",3
"11/26/2022, 07:56:54 PM",2
"11/26/2022, 08:30:34 PM",3
"11/26/2022, 08:31:11 PM",1
"11/26/2022, 09:11:22 PM",3
"11/26/2022, 09:11:31 PM",2
