"Time","t2shut::wish:status"
"11/28/2022, 09:19:14 AM",3
"11/28/2022, 09:19:38 AM",2
"11/28/2022, 10:06:24 AM",3
"11/28/2022, 10:07:03 AM",1
"11/28/2022, 11:15:12 AM",3
"11/28/2022, 11:15:37 AM",2
"11/28/2022, 11:17:35 AM",3
"11/28/2022, 11:18:14 AM",1
"11/28/2022, 04:31:06 PM",3
"11/28/2022, 04:31:31 PM",2
"11/28/2022, 05:04:53 PM",3
"11/28/2022, 05:05:31 PM",1
"11/29/2022, 11:07:38 AM",3
"11/29/2022, 11:08:00 AM",2
"11/29/2022, 11:32:16 AM",3
"11/29/2022, 11:32:52 AM",1
"11/29/2022, 03:47:59 PM",3
"11/29/2022, 03:48:23 PM",2
"11/29/2022, 04:03:15 PM",3
"11/29/2022, 04:03:51 PM",1
"11/29/2022, 04:39:45 PM",3
"11/29/2022, 04:40:10 PM",2
"11/29/2022, 04:45:41 PM",3
"11/29/2022, 04:46:18 PM",1
"11/29/2022, 08:51:30 PM",3
"11/29/2022, 08:51:54 PM",2
"11/29/2022, 09:04:53 PM",3
"11/29/2022, 09:05:31 PM",1
"11/30/2022, 10:06:33 AM",4
"11/30/2022, 10:06:35 AM",3
"11/30/2022, 10:07:00 AM",2
"11/30/2022, 10:16:11 AM",3
"11/30/2022, 10:16:50 AM",1
"11/30/2022, 02:05:23 PM",3
"11/30/2022, 02:05:47 PM",2
"11/30/2022, 02:35:36 PM",3
"11/30/2022, 02:36:14 PM",1
"11/30/2022, 02:36:21 PM",3
"11/30/2022, 02:36:45 PM",2
"11/30/2022, 02:42:34 PM",3
"11/30/2022, 02:43:12 PM",1
"12/01/2022, 08:50:52 AM",3
"12/01/2022, 08:51:15 AM",2
"12/01/2022, 10:31:21 AM",3
"12/01/2022, 10:31:59 AM",1
"12/01/2022, 03:24:26 PM",3
"12/01/2022, 03:24:51 PM",2
"12/01/2022, 03:43:53 PM",3
"12/01/2022, 03:44:30 PM",1
"12/01/2022, 03:44:35 PM",3
"12/01/2022, 03:44:57 PM",2
"12/01/2022, 04:00:18 PM",3
"12/01/2022, 04:00:56 PM",1
"12/01/2022, 07:59:08 PM",3
"12/01/2022, 07:59:35 PM",2
"12/01/2022, 08:45:35 PM",3
"12/01/2022, 08:46:09 PM",1
"12/02/2022, 06:03:49 AM",3
"12/02/2022, 06:04:13 AM",2
"12/02/2022, 06:37:25 AM",3
"12/02/2022, 06:38:00 AM",1
"12/02/2022, 10:30:44 AM",4
"12/02/2022, 10:30:47 AM",3
"12/02/2022, 10:31:17 AM",2
"12/02/2022, 12:07:00 PM",3
"12/02/2022, 12:07:36 PM",1
"12/02/2022, 04:03:28 PM",3
"12/02/2022, 04:03:54 PM",2
"12/02/2022, 04:17:12 PM",3
"12/02/2022, 04:17:45 PM",1
"12/02/2022, 04:37:01 PM",3
"12/02/2022, 04:37:27 PM",2
"12/02/2022, 04:38:28 PM",3
"12/02/2022, 04:39:11 PM",1
"12/03/2022, 08:37:17 AM",3
"12/03/2022, 08:37:42 AM",2
"12/03/2022, 10:27:43 AM",3
"12/03/2022, 10:28:16 AM",1
"12/03/2022, 10:30:16 AM",3
"12/03/2022, 10:30:40 AM",2
"12/03/2022, 10:40:49 AM",3
"12/03/2022, 10:41:28 AM",1
"12/03/2022, 11:15:56 AM",3
"12/03/2022, 11:16:23 AM",2
"12/03/2022, 11:45:01 AM",3
"12/03/2022, 11:45:36 AM",2
"12/03/2022, 11:47:48 AM",3
"12/03/2022, 11:48:27 AM",1
"12/03/2022, 12:40:27 PM",3
"12/03/2022, 12:40:51 PM",2
"12/03/2022, 01:25:16 PM",3
"12/03/2022, 01:25:55 PM",1
"12/04/2022, 09:01:58 AM",3
"12/04/2022, 09:02:22 AM",2
"12/04/2022, 09:20:49 AM",3
"12/04/2022, 09:21:29 AM",1
"12/05/2022, 09:15:20 AM",3
"12/05/2022, 09:15:45 AM",2
"12/05/2022, 10:52:40 AM",3
"12/05/2022, 10:53:15 AM",1
"12/05/2022, 12:09:35 PM",3
"12/05/2022, 12:09:59 PM",2
"12/05/2022, 12:16:17 PM",3
"12/05/2022, 12:16:50 PM",1
"12/05/2022, 01:42:59 PM",3
"12/05/2022, 01:43:25 PM",2
"12/05/2022, 02:18:04 PM",3
"12/05/2022, 02:18:39 PM",1
"12/05/2022, 04:24:30 PM",3
"12/05/2022, 04:24:54 PM",2
"12/05/2022, 04:35:27 PM",3
"12/05/2022, 04:36:05 PM",1
"12/05/2022, 05:44:02 PM",3
"12/05/2022, 05:44:26 PM",2
"12/05/2022, 09:36:14 PM",3
"12/05/2022, 09:36:51 PM",1
"12/06/2022, 12:26:22 AM",4
"12/06/2022, 12:26:24 AM",3
"12/06/2022, 12:26:48 AM",2
"12/06/2022, 04:24:28 AM",3
"12/06/2022, 04:25:06 AM",1
"12/06/2022, 07:24:07 AM",3
"12/06/2022, 07:24:33 AM",2
"12/06/2022, 08:27:40 AM",3
"12/06/2022, 08:28:15 AM",1
"12/06/2022, 08:40:18 AM",3
"12/06/2022, 08:40:43 AM",2
"12/06/2022, 08:47:31 AM",3
"12/06/2022, 08:48:06 AM",1
"12/06/2022, 10:57:20 AM",3
"12/06/2022, 10:57:46 AM",2
"12/06/2022, 11:49:23 AM",3
"12/06/2022, 11:50:02 AM",1
"12/06/2022, 12:08:15 PM",3
"12/06/2022, 12:08:39 PM",2
"12/06/2022, 12:41:17 PM",3
"12/06/2022, 12:41:54 PM",1
"12/06/2022, 02:56:57 PM",3
"12/06/2022, 02:57:21 PM",2
"12/06/2022, 03:32:48 PM",3
"12/06/2022, 03:33:23 PM",1
"12/06/2022, 03:40:47 PM",3
"12/06/2022, 03:41:11 PM",2
"12/06/2022, 03:45:26 PM",3
"12/06/2022, 03:46:06 PM",1
"12/06/2022, 05:43:12 PM",3
"12/06/2022, 05:43:36 PM",2
"12/06/2022, 09:36:58 PM",3
"12/06/2022, 09:37:38 PM",1
"12/06/2022, 11:00:04 PM",3
"12/06/2022, 11:00:29 PM",2
"12/07/2022, 10:00:30 AM",3
"12/07/2022, 10:01:07 AM",1
"12/07/2022, 11:02:39 AM",3
"12/07/2022, 11:03:04 AM",2
"12/07/2022, 03:17:01 PM",3
