"Time","t2shut::chipir:status"
"11/10/2022, 11:59:11 PM",1
"11/10/2022, 11:59:45 PM",3
"11/11/2022, 12:00:35 AM",2
"11/11/2022, 12:04:13 AM",3
"11/11/2022, 12:05:15 AM",1
"11/11/2022, 12:05:23 AM",3
"11/11/2022, 12:06:12 AM",2
"11/11/2022, 12:10:51 AM",3
"11/11/2022, 12:11:54 AM",1
"11/11/2022, 12:12:14 AM",3
"11/11/2022, 12:13:02 AM",2
"11/11/2022, 12:16:37 AM",3
"11/11/2022, 12:17:39 AM",1
"11/11/2022, 12:17:56 AM",4
"11/11/2022, 12:17:58 AM",3
"11/11/2022, 12:18:48 AM",2
"11/11/2022, 12:22:13 AM",3
"11/11/2022, 12:23:15 AM",1
"11/11/2022, 12:23:33 AM",3
"11/11/2022, 12:24:22 AM",2
"11/11/2022, 12:27:39 AM",3
"11/11/2022, 12:28:43 AM",1
"11/11/2022, 12:28:56 AM",3
"11/11/2022, 12:29:45 AM",2
"11/11/2022, 12:33:09 AM",3
"11/11/2022, 12:34:10 AM",1
"11/11/2022, 12:34:23 AM",4
"11/11/2022, 12:34:25 AM",3
"11/11/2022, 12:35:15 AM",2
"11/11/2022, 12:39:22 AM",3
"11/11/2022, 12:40:24 AM",1
"11/11/2022, 12:40:35 AM",3
"11/11/2022, 12:41:23 AM",2
"11/11/2022, 12:45:27 AM",3
"11/11/2022, 12:46:30 AM",1
"11/11/2022, 12:46:40 AM",3
"11/11/2022, 12:47:30 AM",2
"11/11/2022, 12:52:27 AM",3
"11/11/2022, 12:53:29 AM",1
"11/11/2022, 12:56:05 AM",3
"11/11/2022, 12:56:54 AM",2
"11/11/2022, 01:00:53 AM",3
"11/11/2022, 01:01:55 AM",1
"11/11/2022, 01:05:14 AM",3
"11/11/2022, 01:06:03 AM",2
"11/11/2022, 01:09:29 AM",3
"11/11/2022, 01:10:32 AM",1
"11/11/2022, 01:13:24 AM",3
"11/11/2022, 01:14:13 AM",2
"11/11/2022, 01:17:48 AM",3
"11/11/2022, 01:18:50 AM",1
"11/11/2022, 01:24:16 AM",3
"11/11/2022, 01:25:05 AM",2
"11/11/2022, 01:28:39 AM",3
"11/11/2022, 01:29:41 AM",1
"11/11/2022, 01:30:16 AM",3
"11/11/2022, 01:31:05 AM",2
"11/11/2022, 03:42:55 PM",3
"11/11/2022, 03:43:58 PM",1
"11/14/2022, 09:15:20 AM",3
"11/14/2022, 09:16:24 AM",2
"11/14/2022, 10:42:00 AM",3
"11/14/2022, 10:43:04 AM",1
"11/16/2022, 08:37:20 AM",3
"11/16/2022, 08:38:20 AM",2
"11/16/2022, 12:11:55 PM",3
"11/16/2022, 12:12:58 PM",1
"11/16/2022, 12:14:03 PM",3
"11/16/2022, 12:15:02 PM",2
"11/16/2022, 12:33:58 PM",3
"11/16/2022, 12:35:00 PM",1
"11/16/2022, 12:40:20 PM",3
"11/16/2022, 12:41:16 PM",2
"11/16/2022, 12:55:03 PM",3
"11/16/2022, 12:56:07 PM",1
"11/16/2022, 01:01:26 PM",3
"11/16/2022, 01:02:18 PM",2
"11/16/2022, 01:25:53 PM",3
"11/16/2022, 01:26:55 PM",1
"11/16/2022, 02:48:27 PM",3
"11/16/2022, 02:49:26 PM",2
"11/16/2022, 03:30:10 PM",3
"11/16/2022, 03:31:10 PM",1
"11/16/2022, 03:32:45 PM",3
"11/16/2022, 03:33:40 PM",2
"11/16/2022, 03:46:22 PM",3
"11/16/2022, 03:47:27 PM",1
"11/16/2022, 03:50:13 PM",3
"11/16/2022, 03:51:07 PM",2
"11/16/2022, 04:21:56 PM",3
"11/16/2022, 04:22:59 PM",1
"11/16/2022, 04:26:16 PM",3
"11/16/2022, 04:27:11 PM",2
"11/16/2022, 04:45:06 PM",3
"11/16/2022, 04:46:09 PM",1
"11/16/2022, 04:49:53 PM",3
"11/16/2022, 04:50:47 PM",2
"11/16/2022, 05:34:59 PM",3
"11/16/2022, 05:36:02 PM",1
"11/16/2022, 05:37:26 PM",3
"11/16/2022, 05:38:19 PM",2
"11/16/2022, 05:40:07 PM",4
"11/16/2022, 05:40:09 PM",3
"11/16/2022, 05:41:10 PM",1
"11/16/2022, 05:59:11 PM",3
"11/16/2022, 06:00:10 PM",2
"11/16/2022, 07:49:12 PM",3
"11/16/2022, 07:50:15 PM",1
"11/16/2022, 10:50:48 PM",3
"11/16/2022, 10:51:47 PM",2
"11/16/2022, 10:56:09 PM",3
"11/16/2022, 10:57:13 PM",1
"11/16/2022, 11:09:25 PM",4
"11/16/2022, 11:09:27 PM",3
"11/16/2022, 11:10:23 PM",2
"11/17/2022, 06:01:13 PM",3
"11/17/2022, 06:02:15 PM",1
"11/17/2022, 08:31:14 PM",3
"11/17/2022, 08:32:14 PM",2
"11/17/2022, 09:28:06 PM",3
"11/17/2022, 09:29:09 PM",1
"11/18/2022, 12:31:25 AM",3
"11/18/2022, 12:32:24 AM",2
"11/18/2022, 09:37:37 AM",3
"11/18/2022, 09:38:40 AM",1
"11/18/2022, 10:51:32 AM",3
"11/18/2022, 10:52:30 AM",2
"11/18/2022, 12:05:12 PM",3
"11/18/2022, 12:06:15 PM",1
"11/18/2022, 03:47:33 PM",3
"11/18/2022, 03:48:33 PM",2
"11/18/2022, 04:40:49 PM",3
"11/18/2022, 04:41:54 PM",1
"11/18/2022, 08:23:46 PM",3
"11/18/2022, 08:24:46 PM",2
"11/18/2022, 09:16:32 PM",3
"11/18/2022, 09:17:35 PM",1
"11/18/2022, 09:34:28 PM",4
"11/18/2022, 09:34:31 PM",1
"11/19/2022, 08:06:26 AM",3
"11/19/2022, 08:07:26 AM",2
"11/19/2022, 09:03:17 AM",3
"11/19/2022, 09:04:22 AM",1
"11/19/2022, 12:09:28 PM",3
"11/19/2022, 12:10:27 PM",2
"11/19/2022, 12:46:05 PM",3
"11/19/2022, 12:47:08 PM",1
"11/19/2022, 03:43:20 PM",3
"11/19/2022, 03:44:21 PM",2
"11/19/2022, 04:40:39 PM",3
"11/19/2022, 04:41:43 PM",1
"11/19/2022, 08:00:59 PM",3
"11/19/2022, 08:01:59 PM",2
"11/19/2022, 08:53:14 PM",3
"11/19/2022, 08:54:19 PM",1
"11/19/2022, 10:11:25 PM",3
"11/19/2022, 10:12:23 PM",2
"11/19/2022, 10:48:48 PM",3
"11/19/2022, 10:49:51 PM",1
"11/20/2022, 12:03:40 AM",3
"11/20/2022, 12:04:39 AM",2
"11/21/2022, 10:16:43 AM",3
"11/21/2022, 10:17:46 AM",1
"11/21/2022, 05:35:43 PM",3
"11/21/2022, 05:36:44 PM",2
"11/22/2022, 09:20:05 AM",3
