"Time","t2shut::w5:status"
"11/24/2022, 02:21:45 PM",2
"11/24/2022, 02:47:42 PM",3
"11/24/2022, 02:48:17 PM",1
"11/24/2022, 03:07:18 PM",3
"11/24/2022, 03:07:44 PM",2
"11/24/2022, 03:15:06 PM",3
"11/24/2022, 03:15:43 PM",1
"11/25/2022, 08:51:37 AM",3
"11/25/2022, 08:52:05 AM",2
"11/25/2022, 09:45:01 AM",3
"11/25/2022, 09:45:39 AM",1
"11/25/2022, 09:50:42 AM",3
"11/25/2022, 09:51:09 AM",2
"11/25/2022, 10:44:28 AM",3
"11/25/2022, 10:45:07 AM",1
"11/25/2022, 11:35:22 AM",3
"11/25/2022, 11:35:50 AM",2
"11/25/2022, 11:45:23 AM",3
"11/25/2022, 11:46:03 AM",1
"11/25/2022, 11:56:14 AM",3
"11/25/2022, 11:56:43 AM",2
"11/25/2022, 01:16:20 PM",3
"11/25/2022, 01:16:58 PM",1
"11/25/2022, 02:07:31 PM",3
"11/25/2022, 02:07:58 PM",2
"11/25/2022, 02:32:01 PM",3
"11/25/2022, 02:32:33 PM",1
"11/25/2022, 02:45:27 PM",3
"11/25/2022, 02:45:52 PM",2
"11/25/2022, 02:53:38 PM",3
"11/25/2022, 02:54:15 PM",1
"11/25/2022, 03:12:27 PM",3
"11/25/2022, 03:12:55 PM",2
"11/25/2022, 03:35:55 PM",3
"11/25/2022, 03:36:31 PM",1
"11/26/2022, 07:31:19 AM",3
"11/26/2022, 07:31:47 AM",2
"11/26/2022, 09:43:54 AM",3
"11/26/2022, 09:44:31 AM",1
"11/26/2022, 09:45:10 AM",3
"11/26/2022, 09:45:39 AM",2
"11/26/2022, 09:47:01 AM",3
"11/26/2022, 09:47:37 AM",1
"11/26/2022, 11:31:39 AM",3
"11/26/2022, 11:32:06 AM",2
"11/26/2022, 11:39:40 AM",3
"11/26/2022, 11:40:17 AM",1
"11/27/2022, 03:51:44 AM",3
"11/27/2022, 03:52:13 AM",2
"11/27/2022, 07:05:41 AM",3
"11/27/2022, 07:06:18 AM",1
"11/27/2022, 07:15:08 AM",3
"11/27/2022, 07:15:37 AM",2
"11/27/2022, 07:16:15 AM",3
"11/27/2022, 07:16:53 AM",1
"11/27/2022, 07:18:13 AM",3
"11/27/2022, 07:18:40 AM",2
"11/27/2022, 07:20:45 AM",3
"11/27/2022, 07:21:22 AM",1
"11/27/2022, 09:20:38 AM",3
"11/27/2022, 09:21:07 AM",2
"11/27/2022, 09:24:41 AM",3
"11/27/2022, 09:25:18 AM",1
"11/28/2022, 06:09:00 AM",3
"11/28/2022, 06:09:26 AM",2
"11/28/2022, 10:19:01 AM",3
"11/28/2022, 10:19:37 AM",1
"11/28/2022, 10:31:45 AM",4
"11/28/2022, 10:31:47 AM",3
"11/28/2022, 10:32:13 AM",2
"11/28/2022, 11:03:56 AM",3
"11/28/2022, 11:04:35 AM",1
"11/28/2022, 11:48:35 AM",3
"11/28/2022, 11:49:04 AM",2
"11/28/2022, 12:06:34 PM",3
"11/28/2022, 12:07:10 PM",1
"11/28/2022, 12:12:56 PM",3
