"Time","t2shut::inter:status"
"11/21/2022, 09:41:21 PM",2
"11/21/2022, 09:46:36 PM",3
"11/21/2022, 09:47:13 PM",1
"11/21/2022, 09:48:32 PM",3
"11/21/2022, 09:48:52 PM",2
"11/21/2022, 09:50:17 PM",3
"11/21/2022, 09:50:59 PM",1
"11/22/2022, 04:16:56 AM",3
"11/22/2022, 04:17:18 AM",2
"11/22/2022, 04:24:18 AM",3
"11/22/2022, 04:24:52 AM",1
"11/22/2022, 09:29:04 AM",3
"11/22/2022, 09:29:26 AM",2
"11/22/2022, 11:54:18 AM",3
"11/22/2022, 11:55:01 AM",1
"11/22/2022, 01:45:25 PM",3
"11/22/2022, 01:45:46 PM",2
"11/22/2022, 01:48:32 PM",4
"11/22/2022, 01:48:34 PM",3
"11/22/2022, 01:49:14 PM",1
"11/22/2022, 02:16:16 PM",3
"11/22/2022, 02:16:37 PM",2
"11/22/2022, 02:23:55 PM",3
"11/22/2022, 02:24:31 PM",1
"11/22/2022, 03:02:33 PM",4
"11/22/2022, 03:02:35 PM",3
"11/22/2022, 03:02:55 PM",2
"11/22/2022, 03:05:43 PM",3
"11/22/2022, 03:06:22 PM",1
"11/22/2022, 03:42:05 PM",3
"11/22/2022, 03:42:25 PM",2
"11/22/2022, 03:43:55 PM",3
"11/22/2022, 03:44:36 PM",1
"11/22/2022, 03:54:40 PM",3
"11/22/2022, 03:55:00 PM",2
"11/22/2022, 03:57:41 PM",3
"11/22/2022, 03:58:21 PM",1
"11/22/2022, 04:26:13 PM",3
"11/22/2022, 04:26:33 PM",2
"11/22/2022, 04:30:01 PM",3
"11/22/2022, 04:30:39 PM",1
"11/22/2022, 06:24:42 PM",3
"11/22/2022, 06:25:02 PM",2
"11/22/2022, 06:40:56 PM",3
"11/22/2022, 06:41:38 PM",1
"11/22/2022, 07:17:45 PM",3
"11/22/2022, 07:18:04 PM",2
"11/22/2022, 07:25:21 PM",3
"11/22/2022, 07:26:00 PM",1
"11/22/2022, 10:15:52 PM",3
"11/22/2022, 10:16:14 PM",2
"11/22/2022, 10:17:32 PM",3
"11/22/2022, 10:18:12 PM",1
"11/23/2022, 12:07:56 AM",3
"11/23/2022, 12:08:15 AM",2
"11/23/2022, 12:22:29 AM",3
"11/23/2022, 12:23:08 AM",1
"11/23/2022, 08:30:50 AM",3
"11/23/2022, 08:31:10 AM",2
"11/24/2022, 10:59:52 AM",3
"11/24/2022, 11:00:33 AM",1
"11/24/2022, 09:31:11 PM",3
"11/24/2022, 09:31:31 PM",2
"11/24/2022, 09:55:54 PM",3
"11/24/2022, 09:56:36 PM",1
"11/25/2022, 10:52:09 AM",3
"11/25/2022, 10:52:30 AM",2
"11/25/2022, 11:05:32 AM",3
"11/25/2022, 11:06:15 AM",1
"11/25/2022, 11:26:10 AM",3
"11/25/2022, 11:26:30 AM",2
"11/25/2022, 11:38:47 AM",3
"11/25/2022, 11:39:29 AM",1
"11/25/2022, 12:11:13 PM",3
"11/25/2022, 12:11:33 PM",2
"11/25/2022, 12:21:35 PM",3
"11/25/2022, 12:22:15 PM",1
"11/25/2022, 05:24:32 PM",3
"11/25/2022, 05:24:53 PM",2
"11/25/2022, 06:00:00 PM",3
"11/25/2022, 06:00:42 PM",1
"11/25/2022, 09:10:46 PM",3
"11/25/2022, 09:11:08 PM",2
"11/25/2022, 09:25:56 PM",3
"11/25/2022, 09:26:36 PM",1
"11/25/2022, 10:12:51 PM",3
"11/25/2022, 10:13:13 PM",2
"11/25/2022, 10:18:37 PM",3
"11/25/2022, 10:19:16 PM",1
"11/25/2022, 10:44:45 PM",3
"11/25/2022, 10:45:05 PM",2
"11/25/2022, 10:55:12 PM",3
"11/25/2022, 10:55:55 PM",1
"11/25/2022, 11:46:54 PM",3
"11/25/2022, 11:47:14 PM",2
"11/25/2022, 11:57:33 PM",3
"11/25/2022, 11:58:13 PM",1
"11/26/2022, 01:57:10 PM",3
"11/26/2022, 01:57:31 PM",2
"11/26/2022, 02:04:53 PM",3
"11/26/2022, 02:05:35 PM",1
"11/26/2022, 05:11:40 PM",3
"11/26/2022, 05:12:01 PM",2
"11/26/2022, 05:24:59 PM",3
"11/26/2022, 05:25:34 PM",1
"11/26/2022, 07:44:13 PM",3
"11/26/2022, 07:44:35 PM",2
"11/26/2022, 08:15:17 PM",3
"11/26/2022, 08:15:55 PM",1
"11/26/2022, 09:01:13 PM",3
"11/26/2022, 09:01:34 PM",2
"11/26/2022, 09:21:21 PM",3
"11/26/2022, 09:22:02 PM",1
"11/27/2022, 01:28:43 PM",3
"11/27/2022, 01:29:04 PM",2
"11/27/2022, 01:35:36 PM",3
"11/27/2022, 01:36:17 PM",1
"11/27/2022, 04:03:54 PM",3
"11/27/2022, 04:04:14 PM",2
"11/27/2022, 04:09:49 PM",3
"11/27/2022, 04:10:27 PM",1
"11/27/2022, 05:06:55 PM",3
"11/27/2022, 05:07:15 PM",2
"11/27/2022, 05:24:48 PM",3
"11/27/2022, 05:25:30 PM",1
"11/27/2022, 09:41:49 PM",3
"11/27/2022, 09:42:09 PM",2
"11/27/2022, 09:50:15 PM",3
"11/27/2022, 09:50:48 PM",1
"11/28/2022, 09:05:55 AM",3
"11/28/2022, 09:06:17 AM",2
"11/28/2022, 11:22:58 AM",3
"11/28/2022, 11:23:41 AM",1
"11/28/2022, 01:32:56 PM",3
"11/28/2022, 01:33:15 PM",2
"11/28/2022, 01:36:11 PM",3
"11/28/2022, 01:36:53 PM",1
"11/28/2022, 02:30:22 PM",3
"11/28/2022, 02:30:42 PM",2
"11/28/2022, 03:03:54 PM",4
"11/28/2022, 03:03:56 PM",3
"11/28/2022, 03:04:34 PM",1
"11/28/2022, 09:53:44 PM",3
"11/28/2022, 09:54:06 PM",2
"11/28/2022, 10:19:17 PM",3
"11/28/2022, 10:19:57 PM",1
"11/29/2022, 01:29:35 AM",3
"11/29/2022, 01:29:55 AM",2
"11/29/2022, 02:01:33 AM",3
"11/29/2022, 02:02:14 AM",1
"11/29/2022, 10:32:02 AM",3
"11/29/2022, 10:32:21 AM",2
"11/29/2022, 10:51:14 AM",3
"11/29/2022, 10:51:58 AM",1
"11/29/2022, 02:00:45 PM",3
"11/29/2022, 02:01:05 PM",2
"11/29/2022, 02:16:45 PM",3
"11/29/2022, 02:17:25 PM",1
"11/29/2022, 03:48:37 PM",3
"11/29/2022, 03:48:57 PM",2
"11/29/2022, 04:06:58 PM",3
"11/29/2022, 04:07:38 PM",1
"11/29/2022, 10:18:31 PM",3
"11/29/2022, 10:18:52 PM",2
"11/29/2022, 10:42:36 PM",3
"11/29/2022, 10:43:16 PM",1
"11/30/2022, 09:04:17 AM",3
"11/30/2022, 09:04:39 AM",2
"11/30/2022, 09:15:45 AM",3
"11/30/2022, 09:16:27 AM",1
